Price,Close,High,Low,Open,Volume
Ticker,KRX.IR,KRX.IR,KRX.IR,KRX.IR,KRX.IR
Date,,,,,
2000-01-04,2.21549129486084,2.2524161145609014,2.21549129486084,2.21549129486084,0
2000-01-05,2.1785664558410645,2.2154912752136733,2.1785664558410645,2.2154912752136733,0
2000-01-06,2.1416425704956055,2.178567405972115,2.1416425704956055,2.178567405972115,0
2000-01-07,2.0677919387817383,2.0677919387817383,2.0677919387817383,2.0677919387817383,0
2000-01-10,2.08256196975708,2.08256196975708,2.0677920404452275,2.0677920404452275,0
2000-01-11,2.1416425704956055,2.1416425704956055,2.089947624756988,2.089947624756988,0
2000-01-12,2.21549129486084,2.21549129486084,2.1047166596892266,2.1416416554607167,0
2000-01-13,2.2893407344818115,2.2893407344818115,2.2154911015261716,2.2154911015261716,0
2000-01-14,2.2893407344818115,2.3262657270310454,2.2893407344818115,2.2893407344818115,0
2000-01-17,2.326266050338745,2.326266050338745,2.289341052657624,2.289341052657624,0
2000-01-18,2.326266050338745,2.3631908719484285,2.326266050338745,2.3631908719484285,0
2000-01-19,2.2893407344818115,2.2893407344818115,2.2893407344818115,2.2893407344818115,0
2000-01-20,2.2893407344818115,2.2893407344818115,2.1047164760212973,2.1047164760212973,0
2000-01-21,2.326266050338745,2.326266050338745,2.1416417662188905,2.1416417662188905,0
2000-01-24,2.2893407344818115,2.2893407344818115,2.2524159180039915,2.2524159180039915,0
2000-01-25,2.2524163722991943,2.28934119622447,2.2524163722991943,2.28934119622447,0
2000-01-26,2.2524163722991943,2.28934119622447,2.215491548373919,2.2524163722991943,0
2000-01-27,2.2524163722991943,2.2524163722991943,2.2524163722991943,2.2524163722991943,0
2000-01-28,2.267186403274536,2.278263938983312,2.252416473043806,2.252416473043806,0
2000-01-31,2.2524163722991943,2.2524163722991943,2.2524163722991943,2.2524163722991943,0
2000-02-01,2.2893407344818115,2.3041106610729396,2.2524159180039915,2.2524159180039915,0
2000-02-02,2.2893407344818115,2.3041106610729396,2.2893407344818115,2.3041106610729396,0
2000-02-03,2.2967259883880615,2.304110952618064,2.289341024158059,2.304110952618064,0
2000-02-04,2.2893407344818115,2.2893407344818115,2.2893407344818115,2.2893407344818115,0
2000-02-07,2.2893407344818115,2.2893407344818115,2.2671858445951196,2.2671858445951196,0
2000-02-08,2.274571418762207,2.2893413493200296,2.274571418762207,2.2893413493200296,0
2000-02-09,2.2893407344818115,2.3041106610729396,2.2745708078906834,2.2745708078906834,0
2000-02-10,2.400115728378296,2.400115728378296,2.2893410858707215,2.2893410858707215,0
2000-02-11,2.4370412826538086,2.4370412826538086,2.40011644941556,2.40011644941556,0
2000-02-14,2.4813501834869385,2.5108902154459676,2.4739652195150383,2.4739652195150383,0
2000-02-15,2.473965644836426,2.473965644836426,2.437040818628852,2.437040818628852,0
2000-02-16,2.473965644836426,2.473965644836426,2.473965644836426,2.473965644836426,0
2000-02-17,2.4370412826538086,2.4739661158920567,2.4370412826538086,2.4739661158920567,0
2000-02-18,2.473965644836426,2.473965644836426,2.437040818628852,2.437040818628852,0
2000-02-21,2.473965644836426,2.473965644836426,2.473965644836426,2.473965644836426,0
2000-02-22,2.473965644836426,2.473965644836426,2.473965644836426,2.473965644836426,0
2000-02-23,2.400115728378296,2.473965372669052,2.400115728378296,2.473965372669052,0
2000-02-24,2.400115728378296,2.400115728378296,2.400115728378296,2.400115728378296,0
2000-02-25,2.3631906509399414,2.40011546909637,2.326265832783512,2.40011546909637,0
2000-02-28,2.21549129486084,2.3262659300324535,2.21549129486084,2.3262659300324535,0
2000-02-29,2.21549129486084,2.289340934260963,2.21549129486084,2.289340934260963,0
2000-03-01,2.3631906509399414,2.3631906509399414,2.2893408385556615,2.2893408385556615,0
2000-03-02,2.400115728378296,2.400115728378296,2.363190906232918,2.363190906232918,0
2000-03-03,2.400115728378296,2.400115728378296,2.363190906232918,2.363190906232918,0
2000-03-06,2.3631906509399414,2.40011546909637,2.3631906509399414,2.40011546909637,0
2000-03-07,2.3631906509399414,2.3631906509399414,2.3631906509399414,2.3631906509399414,0
2000-03-08,2.400115728378296,2.437040550523674,2.363190906232918,2.363190906232918,0
2000-03-09,2.400115728378296,2.437040550523674,2.400115728378296,2.437040550523674,0
2000-03-10,2.473965644836426,2.473965644836426,2.400115992421278,2.400115992421278,0
2000-03-13,2.473965644836426,2.473965644836426,2.473965644836426,2.473965644836426,0
2000-03-14,2.5108909606933594,2.5108909606933594,2.4739659538028684,2.4739659538028684,0
2000-03-15,2.5108909606933594,2.5478157915123685,2.5108909606933594,2.5108909606933594,0
2000-03-16,2.5478146076202393,2.5478146076202393,2.5108897939590706,2.5108897939590706,0
2000-03-17,2.5478146076202393,2.5478146076202393,2.5478146076202393,2.5478146076202393,0
2000-03-20,2.5478146076202393,2.584739421281408,2.5478146076202393,2.5478146076202393,0
2000-03-21,2.5478146076202393,2.5478146076202393,2.5478146076202393,2.5478146076202393,0
2000-03-22,2.584740161895752,2.584740161895752,2.5478153376543884,2.584740161895752,0
