Price,Close,High,Low,Open,Volume
Ticker,MB.MI,MB.MI,MB.MI,MB.MI,MB.MI
Date,,,,,
1987-05-04,2.0603416604265666e+22,2.0603416604265666e+22,2.0603416604265666e+22,2.0603416604265666e+22,0
1987-05-05,2.0320209993498286e+22,2.0320209993498282e+22,2.0320209993498282e+22,2.0320209993498282e+22,0
1987-05-06,1.9888069343053764e+22,1.9888069343053764e+22,1.9888069343053764e+22,1.9888069343053764e+22,0
1987-05-07,2.005799466059408e+22,2.005799466059408e+22,2.005799466059408e+22,2.005799466059408e+22,0
1987-05-08,2.0001330370082505e+22,2.0001330370082505e+22,2.0001330370082505e+22,2.0001330370082505e+22,0
1987-05-11,1.9827234719287243e+22,1.9827234719287243e+22,1.9827234719287243e+22,1.9827234719287243e+22,0
1987-05-12,1.9646809259215713e+22,1.9646809259215713e+22,1.9646809259215713e+22,1.9646809259215713e+22,0
1987-05-13,1.939928466829599e+22,1.939928466829599e+22,1.939928466829599e+22,1.939928466829599e+22,0
1987-05-14,1.966882960959374e+22,1.966882960959374e+22,1.966882960959374e+22,1.966882960959374e+22,0
1987-05-15,1.956920773403649e+22,1.956920773403649e+22,1.956920773403649e+22,1.956920773403649e+22,0
1987-05-18,1.918739706122765e+22,1.918739706122765e+22,1.918739706122765e+22,1.918739706122765e+22,0
1987-05-19,1.8967119248053517e+22,1.8967119248053517e+22,1.8967119248053517e+22,1.8967119248053517e+22,0
1987-05-20,1.911608481292805e+22,1.911608481292805e+22,1.911608481292805e+22,1.911608481292805e+22,0
1987-05-21,1.911608481292805e+22,1.911608481292805e+22,1.911608481292805e+22,1.911608481292805e+22,0
1987-05-22,1.8953486851981466e+22,1.8953486851981466e+22,1.8953486851981466e+22,1.8953486851981466e+22,0
1987-05-25,1.8779372060887789e+22,1.8779372060887789e+22,1.8779372060887789e+22,1.8779372060887789e+22,0
1987-05-26,1.876363535788985e+22,1.876363535788985e+22,1.876363535788985e+22,1.876363535788985e+22,0
1987-05-27,1.8841002695888447e+22,1.8841002695888447e+22,1.8841002695888447e+22,1.8841002695888447e+22,0
