Price,Close,High,Low,Open,Volume
Ticker,PUB.PA,PUB.PA,PUB.PA,PUB.PA,PUB.PA
Date,,,,,
2000-09-19,22.376657485961914,22.797864754590968,22.24503008898567,22.771539676890654,807744
2000-09-20,22.113405227661133,22.782072721990733,21.639545740821283,22.63991487593878,658471
2000-09-21,21.428943634033203,22.113405792584885,20.481226644617415,22.113405792584885,1289942
2000-09-22,21.05512237548828,21.30784677353216,20.691829421414283,21.06038658840639,893952
2000-09-25,21.381559371948242,21.534247667936267,21.19727977071179,21.428945325583314,451970
2000-09-26,20.818193435668945,21.455269672752237,20.53387772361564,21.4289445901862,452340
2000-09-27,19.807292938232422,21.255194509914105,19.696726391156176,20.560201916184894,702484
2000-09-28,18.433103561401367,20.007368435160114,18.059282159515295,19.92839117742076,1877380
2000-09-29,18.217235565185547,18.901699810091376,17.638075674776978,18.664770033660528,915128
2000-10-02,18.111936569213867,19.033328650324087,17.901331861569968,19.033328650324087,442841
2000-10-03,18.427839279174805,18.633177738358164,17.875004502494576,17.901329585484095,501004
2000-10-04,18.348859786987305,18.55946444220367,18.217232379595792,18.375186875245486,577322
2000-10-05,18.243558883666992,18.79639357531377,17.82234958672204,18.454161523664688,874692
2000-10-06,16.848308563232422,18.154052235865947,16.458691548216166,18.059280339519773,1166378
2000-10-09,16.29547691345215,16.853575954440334,15.905858820718173,16.848311740750468,643069
2000-10-10,17.243194580078125,17.316905624865917,16.321802503280058,16.321802503280058,578561
2000-10-11,15.532038688659668,17.00100147379074,15.53203868865967,16.84831315380032,1104447
2000-10-12,16.32179832458496,16.585053136271817,15.321430241022398,16.058543512898108,782942
2000-10-13,16.34812355041504,16.79565693513671,15.4267317012623,15.584685192230936,812803
2000-10-16,16.848308563232422,17.61174794669887,16.664029987474578,17.61174794669887,462126
2000-10-17,17.190536499023438,17.190536499023438,16.163842541234047,16.76406306805647,873412
2000-10-18,16.32179832458496,16.79565678477382,15.716312458552679,16.79565678477382,628077
2000-10-19,17.953981399536133,18.006633578823426,16.637708048720526,16.637708048720526,846273
2000-10-20,18.69109344482422,18.796395781419637,17.953979097131285,18.16458377032213,1370438
2000-10-23,18.69109344482422,18.84904594547984,18.454163689603273,18.74374360888442,455071
2000-10-24,19.480859756469727,19.95471931069285,18.454165394636416,18.627914567343296,1072870
2000-10-25,19.744112014770508,19.744112014770508,19.243927442034668,19.480857187906903,710824
2000-10-26,19.533506393432617,19.738846835450694,19.270251579459266,19.486120446578422,211384
2000-10-27,20.27062225341797,20.423310539438752,19.56509921672624,19.74411258449802,695889
2000-10-30,20.40224838256836,20.528611578860307,20.138993564728768,20.428573462657347,348642
2000-10-31,20.296947479248047,20.481227069763143,20.270622397310177,20.40224981547453,244839
2000-11-01,20.428573608398438,20.428573608398438,20.138993708403948,20.428573608398438,332648
2000-11-02,20.296947479248047,20.791867856970015,20.154789626613546,20.4285748974124,314241
2000-11-03,21.218339920043945,21.27099209366927,20.50755264813998,20.63918006949072,1016666
2000-11-06,21.850147247314453,22.055485659126045,21.218335358950192,21.42893999122982,724651
2000-11-07,21.428943634033203,21.823825880329363,21.08671155051988,21.823825880329363,589729
2000-11-08,20.791866302490234,21.507917716650546,20.66550310677085,21.507917716650546,543686
2000-11-09,20.13899803161621,20.928762660307044,19.74937993106626,20.57600209022662,617644
2000-11-10,18.901697158813477,20.10213851304762,18.485754055030622,19.981041535074432,923910
2000-11-13,17.964509963989258,19.085976160041984,17.906593577044152,18.79639623379153,528563
2000-11-14,19.375558853149414,19.744116088496416,18.427841682596654,18.427841682596654,512911
2000-11-15,19.917861938476562,20.48122712917623,19.375555608303277,20.007367619019963,723342
2000-11-16,20.00210189819336,20.375923256650832,19.63880896496791,19.95471595074982,430145
2000-11-17,19.480859756469727,20.007369479617555,19.24392997935816,20.007369479617555,213062
2000-11-20,19.428203582763672,19.902060982053897,18.664764318464634,19.717783439297904,423918
2000-11-21,18.643709182739258,19.16495469144568,18.643709182739254,18.96488043463688,314366
2000-11-22,18.638442993164062,18.922756686567084,18.164583490034047,18.58579082144129,524385
2000-11-23,18.954347610473633,19.322904771261165,18.454163035724477,18.454163035724477,500544
2000-11-24,19.164953231811523,19.34923081715633,18.801660265738846,19.164953231811523,208344
2000-11-27,19.65460205078125,19.954712327269824,19.164948018936844,19.164948018936844,311763
2000-11-28,19.480859756469727,20.007369479617555,19.23339954387818,19.817825657928303,445918
2000-11-29,18.485755920410156,19.164953916621908,18.43310374523379,18.959613446146754,330825
2000-11-30,18.032958984375,18.691096173585766,17.664401756721908,18.42784129790146,352829
2000-12-01,18.427839279174805,18.55946670259748,17.611749655649223,17.611749655649223,519868
2000-12-04,17.92765235900879,18.6858275056783,17.532770139610026,18.480487064472086,237937
2000-12-05,18.427839279174805,18.7700713834638,17.880268715702446,17.99610149102643,639247
2000-12-06,19.322908401489258,19.744115803604423,19.228136484953932,19.296583315446185,815159
2000-12-07,20.007366180419922,20.060016340662656,19.08597431684795,19.48085654409308,549512
2000-12-08,19.628280639648438,20.349600362489596,19.53350873458135,20.007368259916777,462980
2000-12-11,21.049854278564453,21.049854278564453,19.059648565998305,20.002101263891458,969383
2000-12-12,20.196910858154297,20.412779738192967,19.61248481480023,20.060017221949312,273463
2000-12-13,19.744112014770508,20.586526657344077,19.744112014770508,20.270621668497725,787210
2000-12-14,20.612855911254883,20.62865055981323,19.74411408799313,20.007368942499703,307692
2000-12-15,19.744112014770508,20.739214938958952,19.744112014770508,20.270621668497725,478310
2000-12-18,19.58616065979004,19.99683757087679,19.333436252315497,19.744113163402247,370664
