Price,Close,High,Low,Open,Volume
Ticker,UCG.MI,UCG.MI,UCG.MI,UCG.MI,UCG.MI
Date,,,,,
2000-01-03,149627.125,156228.31745896462,148369.75072522092,156228.31745896462,561302
2000-01-04,147426.71875,149312.78008840472,143968.95311976614,147426.71875,660208
2000-01-05,143654.625,146798.0520067365,142711.59869666924,143025.94679341358,556708
2000-01-06,143968.984375,146169.385250781,142397.27074850668,143968.984375,526051
2000-01-07,143025.921875,146169.34833407914,141768.5476939885,145855.0002921015,526295
2000-01-10,143654.625,145855.02570340576,142711.59869666924,145540.68660011256,602327
2000-01-11,138939.46875,143025.9305905795,137682.10348581793,143025.9305905795,828903
2000-01-12,138310.765625,139568.1397372119,137053.40050623714,138310.765625,497870
2000-01-13,135167.359375,139253.8213487374,133595.64599847037,138625.13419943547,1334067
2000-01-14,133281.3125,136739.0874691857,132023.9381487596,136110.4002935655,1085910
2000-01-17,132338.265625,135796.03106227654,131395.23950514727,135796.03106227654,707477
2000-01-18,129823.5390625,132023.93056052437,128566.16478352871,132023.93056052437,980572
2000-01-19,129509.1796875,131395.24094126912,126051.41421243084,130137.8667720897,1279561
2000-01-20,127308.78125,131395.24286287118,126051.41605588161,131080.89481925438,1055647
2000-01-21,127623.1640625,129194.87772842335,125737.10226732073,126680.13766163639,1018091
2000-01-24,126365.7578125,129509.18435529503,125737.07070525103,128251.81913424688,692308
2000-01-25,123536.6953125,126680.13148452001,122593.66895761978,125737.0961361882,839215
2000-01-26,124165.3515625,125422.725717541,121650.61224586732,124794.0386400205,805052
2000-01-27,126680.1171875,128251.83059940184,125422.74286059827,125737.08194559842,677458
2000-01-28,125108.390625,127308.78197561097,124165.35548222426,127308.78197561097,532370
2000-01-31,127937.4609375,128566.14799488937,122279.29540789373,123851.00855464264,684490
2000-02-01,125737.046875,128880.47282203879,124165.3339014806,128880.47282203879,907859
2000-02-02,124794.0625,126994.46319530232,123536.68810455549,125737.08879985783,508670
2000-02-03,121336.296875,125422.75018592433,121021.94877818975,124794.06298575495,952034
2000-02-04,121336.296875,123536.68858541618,118192.8698676042,120393.26157802036,756809
2000-02-07,121021.921875,124479.69621054236,120078.89578110632,121336.26990193065,698815
2000-02-08,120707.5859375,122593.638173662,119135.87274288188,121021.92497904388,686121
2000-02-09,121336.296875,124165.37578558557,119135.89617113271,120393.26157802036,1158398
2000-02-10,127623.1640625,127623.16406249999,119764.5957328832,119764.5957328832,1089660
2000-02-11,125737.046875,130137.84679823354,121964.9429333119,130137.84679823354,765809
2000-02-14,120393.234375,123536.66067213424,117878.49513598245,123222.32163980044,1085047
2000-02-15,118507.21875,120707.61963544105,117878.5314979523,119450.24513134564,613971
2000-02-16,119135.8671875,120078.8932616071,117564.15406617189,117878.49309305794,752159
2000-02-17,118507.21875,120707.61963544105,116621.16598730875,119450.24513134564,1538255
2000-02-18,117878.53125,121021.95851017462,117878.53125,121021.95851017462,783865
2000-02-21,120393.234375,122279.29554934999,118192.84316176533,119450.20828454956,557945
2000-02-22,121336.296875,122908.0103786979,119764.5833713021,121021.94877818975,767646
2000-02-23,119450.2109375,123851.0114486079,119450.2109375,122907.98533721315,552864
2000-02-24,116306.8203125,122593.6749783945,114420.76751011248,119135.90850953334,765134
2000-02-25,115678.1171875,117564.17872475645,112849.03837179154,116306.8043665855,981266
2000-02-28,113163.359375,116935.4728530749,110962.95909666887,116935.4728530749,928934
2000-02-29,120393.234375,121964.95651701621,112534.66863216445,114106.38178073156,1195316
2000-03-01,128566.1953125,129823.56989004395,122593.67955934479,123222.36684811677,1574855
2000-03-02,128566.1953125,129823.56989004395,123851.05413688875,129823.56989004395,768377
2000-03-03,124165.3515625,130452.20435080635,123222.32544294391,130452.20435080635,1151216
2000-03-06,136739.078125,137367.75626420818,126365.76291976337,127623.13718507998,1648918
2000-03-07,129194.8515625,139253.81878585025,126994.45107716553,137996.44451038764,1428099
2000-03-08,126680.1171875,130137.88309630382,124794.05569714741,125737.08194559842,635627
2000-03-09,128880.484375,131709.57157831604,128251.80632399544,131080.88453386258,536964
2000-03-10,128566.1953125,131080.9354741355,126680.14243963645,131080.9354741355,466014
2000-03-13,121964.953125,128566.14456801386,120707.57904373601,126994.4314631583,814746
2000-03-14,121021.921875,122593.63502930586,119450.20872069415,122279.29599582433,500533
2000-03-15,120393.234375,123851.0086979171,117878.49513598245,119764.55631033244,640952
2000-03-16,127623.1640625,128251.85132755974,119764.5957328832,121336.30939880655,841353
2000-03-17,130137.8984375,131709.61203468198,127937.49760275491,131395.27291262624,2219464
2000-03-20,126051.4140625,130137.86661729826,124165.35281097426,130137.86661729826,373126
2000-03-21,127308.78125,130137.86867530318,123222.32863057843,126051.41605588161,419795
2000-03-22,129194.8515625,130766.56491010316,126994.45107716553,127308.79014930608,588977
2000-03-23,126680.1171875,128880.5087694021,123851.02944869643,127308.79535750026,468957
2000-03-24,131709.578125,131709.578125,125737.06439599916,127623.12562310701,595445
2000-03-27,130137.8984375,132023.95115673772,128566.18484031803,132023.95115673772,423714
2000-03-28,131080.90625,131709.5933986079,128566.16664901892,129194.85379762678,444282
2000-03-29,131709.578125,132652.60424182928,129194.83881563888,129509.17785676553,463782
2000-03-30,133281.3125,136424.7393846502,129509.19843972959,132966.97340891528,1045316
2000-03-31,130766.5546875,134538.66822555472,129823.52855134869,133909.9811369707,573564
2000-04-03,134538.640625,134538.640625,129823.501918103,131395.214820402,667539
2000-04-04,144283.296875,145226.3230781673,135167.35592633253,135167.35592633253,2368771
2000-04-05,135796.046875,141454.22223987945,134853.0206453369,141139.87416769148,1114522
2000-04-06,136110.375,137367.74012413184,133281.2877321674,136110.375,469426
2000-04-07,137996.4375,137996.4375,132338.27153476042,135167.35002065534,509214
2000-04-10,139568.171875,141454.2334776135,135796.05766322414,137682.11926583765,514239
2000-04-11,136424.734375,139568.1611442205,135481.70814292395,137682.10868006837,517033
2000-04-12,137996.4375,139253.8117115865,135167.35002065534,135167.35002065534,716027
2000-04-13,135167.359375,138939.47327736125,134853.02029707422,135796.04652430196,468095
2000-04-14,131709.578125,136739.0657371716,130137.86493246815,134853.00451006377,856334
2000-04-17,127623.1640625,129823.5649934831,125108.42399571302,125108.42399571302,687827
2000-04-18,129194.8515625,130452.2168445124,126994.45107716553,129823.53870023131,318151
2000-04-19,129509.1796875,133281.29320158876,128566.15355734019,131709.57998683924,655708
2000-04-20,128880.484375,132023.9106038183,128251.80632399544,130452.19748940915,466820
2000-04-21,152387.046875,152387.046875,152387.046875,152387.046875,0
2000-04-24,152387.046875,152387.046875,152387.046875,152387.046875,0
2000-04-25,132338.265625,133595.63078698723,127623.1260322869,128880.49119427412,315113
2000-04-26,136424.734375,137053.4215275342,134853.02099038978,137053.4215275342,431832
2000-04-27,139568.171875,140511.1981795812,135796.05766322414,137682.11926583765,673933
2000-04-28,140196.875,142711.6150956679,138939.50045544,139882.5268671339,819959
2000-05-01,165767.390625,165767.390625,165767.390625,165767.390625,0
2000-05-02,140825.53125,143340.27079169906,138939.46984863808,141454.21838378732,592858
2000-05-03,139253.828125,141454.22875790577,138939.48003832728,139882.5063114438,358745
2000-05-04,143340.265625,143654.6046838382,139253.8128928539,139568.15195169213,460482
2000-05-05,142082.875,143340.24907709513,139253.79681670922,143025.91005454573,368813
2000-05-08,139568.171875,141139.88538045235,138625.14557041883,140196.85907587118,347251
2000-05-09,140196.875,141139.90141169395,137996.47404374604,139882.5268671339,297882
2000-05-10,140196.875,141768.58868397397,138939.50045544,138939.50045544,293851
2000-05-11,139882.484375,141768.54561891078,138310.77116846573,138310.77116846573,404589
2000-05-12,141768.53125,143654.58330930106,138625.10515553254,140196.81820276627,539252
2000-05-15,143968.984375,145226.34988012354,141139.8962499313,143968.984375,640371
2000-05-16,149312.8125,151827.54351018363,144912.01074854904,145226.34987645905,1527324
2000-05-17,151513.15625,154970.92153236413,148369.72999568752,150570.13017239605,1812400
2000-05-18,153713.5625,154027.90152208004,148684.07519257782,151198.81434956452,826071
2000-05-19,151513.15625,154027.90444820916,149627.1040947921,154027.90444820916,906303
2000-05-22,-2824.109375,-2922.98420013047,-2799.39080131922,-2922.98420013047,543227
2000-05-23,-2972.421875,-2978.6014749486917,-2805.570731558148,-2867.367438254947,1073591
2000-05-24,-2960.062744140625,-2978.601722328878,-2873.547453661281,-2916.80501049971,705696
2000-05-25,-2978.601318359375,-2990.96087121194,-2941.523367011524,-2966.242119111732,642846
2000-05-26,-2960.062744140625,-2966.2425214050327,-2916.80501049971,-2947.703366414294,429695
2000-05-29,-2922.985107421875,-2966.2428457934575,-2904.446127206198,-2935.344486499828,256988
2000-05-30,-2947.703125,-2947.703125,-2885.906418231928,-2910.625171660145,420676
2000-05-31,-2929.1630859375,-2972.4208003462913,-2904.444518277053,-2960.0614281148646,398232
2000-06-01,-2990.961669921875,-2990.961669921875,-2916.805393818472,-2916.805393818472,589689
2000-06-02,-3028.03857421875,-3058.9369234086876,-2935.343526648938,-2966.2418758388753,1158079
2000-06-05,-3015.6796875,-3040.3984430247488,-2978.601731015363,-2990.961285580223,453714
2000-06-06,-3028.03857421875,-3046.5773715697765,-2997.140225028813,-3021.858975101741,627227
2000-06-07,-3034.21826171875,-3034.21826171875,-2978.601160835827,-3003.319911628782,568689
2000-06-08,-3009.5,-3058.937509620005,-2997.140799397479,-3028.0391545087423,603039
2000-06-09,-2984.781494140625,-3040.398608700728,-2953.883313254729,-3003.320650195656,859859
2000-06-12,-2960.062744140625,-2997.1408773196167,-2953.8831436787023,-2990.961276857694,228038
