Price,Close,High,Low,Open,Volume
Ticker,AZPN,AZPN,AZPN,AZPN,AZPN
Date,,,,,
1994-10-26,7.9375,8.25,7.875,8.25,5289000
1994-10-27,8.25,8.25,7.9375,8.125,733200
1994-10-28,8.8125,9.0625,8.0625,8.25,1111200
1994-10-31,8.5,8.875,8.4375,8.6875,389000
1994-11-01,8.1875,8.625,7.9375,8.4375,402000
1994-11-02,8.3125,8.5,8.1875,8.1875,228400
1994-11-03,8.375,8.5625,8.375,8.4375,165600
1994-11-04,8.5,8.5625,8.3125,8.5625,139400
1994-11-07,8.25,8.4375,8.1875,8.3125,180800
1994-11-08,8.1875,8.4375,8.0625,8.4375,270400
1994-11-09,8.25,8.375,8.25,8.25,456800
1994-11-10,8.3125,8.5,8.25,8.25,78800
1994-11-11,8.5,8.5,8.3125,8.3125,27600
1994-11-14,8.3125,8.5,8.3125,8.5,37800
1994-11-15,8.0625,8.375,8.0625,8.3125,222000
1994-11-16,8.3125,8.4375,8.125,8.125,52200
1994-11-17,8.34375,8.5,8.25,8.25,240800
1994-11-18,9.0625,9.0625,8.3125,8.5,323600
1994-11-21,8.8125,9.1875,8.75,8.8125,106200
1994-11-22,8.0625,8.875,7.9375,8.6875,293800
1994-11-23,8.125,8.25,7.875,7.875,48400
1994-11-25,8.0625,8.1875,7.9375,8.0,98200
1994-11-28,8.1875,8.1875,8.0,8.0625,266200
1994-11-29,8.375,8.375,8.125,8.1875,75000
1994-11-30,8.4375,8.5,8.125,8.25,149000
1994-12-01,8.5,8.5625,8.375,8.5625,24400
1994-12-02,8.5625,8.625,8.375,8.375,118800
1994-12-05,8.9375,8.9375,8.5,8.625,209800
1994-12-06,9.3125,9.6875,8.8125,8.9375,586600
1994-12-07,9.25,9.375,9.25,9.25,135800
1994-12-08,8.6875,9.375,8.625,9.375,318600
1994-12-09,8.4375,8.625,8.4375,8.625,255200
1994-12-12,8.5625,8.625,8.375,8.4375,54000
1994-12-13,8.75,8.75,8.5625,8.6875,47800
1994-12-14,8.8125,8.8125,8.5625,8.75,107600
1994-12-15,8.875,8.9375,8.625,8.8125,81200
1994-12-16,8.9375,9.0,8.8125,8.875,64600
1994-12-19,9.0,9.0625,8.8125,9.0,94400
1994-12-20,9.0625,9.0625,8.875,8.9375,107800
1994-12-21,9.0,9.1875,9.0,9.0625,54200
1994-12-22,9.125,9.25,9.0,9.0,24600
1994-12-23,9.25,9.3125,9.125,9.3125,11000
1994-12-27,9.8125,9.875,9.3125,9.3125,80000
1994-12-28,9.6875,10.0625,9.6875,9.875,64200
1994-12-29,9.875,10.125,9.6875,9.8125,78800
1994-12-30,9.8125,10.0625,9.625,10.0625,65000
1995-01-03,9.0,9.8125,9.0,9.8125,112200
1995-01-04,9.0,9.1875,8.8125,9.1875,88400
1995-01-05,9.25,9.25,8.875,8.875,78000
1995-01-06,9.3125,9.3125,9.0,9.0,60400
1995-01-09,9.375,9.375,9.1875,9.375,24400
1995-01-10,9.75,9.75,9.1875,9.375,37200
1995-01-11,9.875,9.9375,9.5625,9.75,79200
1995-01-12,9.875,10.125,9.75,9.9375,191200
1995-01-13,9.625,10.125,9.5625,10.125,63600
1995-01-16,9.875,9.875,9.5625,9.5625,11000
1995-01-17,9.6875,9.75,9.5625,9.6875,46200
1995-01-18,9.8125,9.8125,9.5625,9.75,30200
1995-01-19,9.8125,9.8125,9.625,9.625,2200
1995-01-20,9.625,9.875,9.625,9.875,11600
1995-01-23,9.5,9.625,9.375,9.625,90800
1995-01-24,9.0625,9.4375,8.875,9.3125,149800
1995-01-25,9.0625,9.125,8.875,9.0,96800
1995-01-26,8.875,8.875,8.875,8.875,800
1995-01-27,8.875,8.875,8.875,8.875,400
1995-01-30,9.0625,9.125,8.875,8.875,609000
1995-01-31,9.125,9.125,9.0,9.125,8800
1995-02-01,9.125,9.125,9.125,9.125,16600
1995-02-02,9.25,9.25,8.875,8.875,27000
1995-02-03,9.3125,9.5,9.25,9.25,79800
1995-02-06,9.75,9.75,9.25,9.5,40600
1995-02-07,9.75,10.125,9.5,9.75,43600
1995-02-08,9.75,10.125,9.75,10.0,115400
1995-02-09,10.125,10.125,10.125,10.125,37000
1995-02-10,10.0,10.25,10.0,10.25,13200
1995-02-13,10.25,10.25,10.0,10.25,40800
1995-02-14,9.875,10.25,9.875,10.0,30000
1995-02-15,10.75,11.125,10.125,10.5,1427800
1995-02-16,10.875,11.125,10.75,11.125,362200
1995-02-17,10.75,11.125,10.75,11.125,232800
1995-02-21,10.4375,11.125,10.375,11.125,719400
1995-02-22,10.625,10.625,10.375,10.375,6800
1995-02-23,10.0,10.375,9.875,10.375,71800
1995-02-24,10.125,10.125,9.875,10.125,416200
1995-02-27,9.875,10.125,9.875,10.125,11600
1995-02-28,9.75,10.125,9.75,10.125,46200
1995-03-01,10.125,10.125,9.75,9.75,800
1995-03-02,9.75,10.125,9.75,9.75,45600
1995-03-03,10.125,10.25,10.0,10.0,111200
1995-03-06,10.125,10.125,9.9375,10.0,26600
1995-03-07,9.75,10.125,9.75,10.0,226600
1995-03-08,9.75,10.125,9.75,9.75,11800
1995-03-09,9.5,9.875,9.5,9.75,12600
1995-03-10,9.5,9.6875,9.25,9.6875,221000
1995-03-13,9.25,9.5,9.25,9.25,217400
1995-03-14,9.375,9.5,9.25,9.25,4000
1995-03-15,9.625,9.625,9.4375,9.5,58800
1995-03-16,9.75,9.75,9.375,9.5,81400
1995-03-17,9.875,10.25,9.875,10.0,20000
1995-03-20,9.875,10.25,9.875,9.875,64000
1995-03-21,9.875,10.25,9.875,10.25,32200
1995-03-22,10.25,10.25,9.875,10.25,14000
1995-03-23,10.125,10.5,10.125,10.25,7600
1995-03-24,10.375,10.625,10.25,10.5,151000
1995-03-27,10.125,10.625,10.125,10.25,8000
1995-03-28,10.0,10.375,10.0,10.0,118400
1995-03-29,9.75,10.25,9.5,10.25,31800
1995-03-30,9.125,9.75,8.875,9.5,62200
1995-03-31,9.875,9.875,9.0,9.25,53200
1995-04-03,10.125,10.125,10.0,10.0,8200
1995-04-04,10.0625,10.25,9.875,10.0625,36400
1995-04-05,9.875,10.0625,9.875,9.875,41000
1995-04-06,10.0625,10.25,9.875,10.0625,57200
1995-04-07,9.875,10.25,9.875,9.875,3000
1995-04-10,9.875,10.0625,9.875,9.875,41200
1995-04-11,9.5,9.875,9.375,9.875,21200
1995-04-12,9.5,9.75,9.5,9.5,50400
1995-04-13,9.5,9.625,9.5,9.5625,76200
1995-04-17,9.75,9.75,9.5,9.5,36800
1995-04-18,9.25,9.5,9.25,9.5,349000
