Price,Close,High,Low,Open,Volume
Ticker,EXEL,EXEL,EXEL,EXEL,EXEL
Date,,,,,
2000-04-17,14.75,15.8125,13.875,15.8125,463000
2000-04-18,14.625,15.875,14.0,15.6875,554000
2000-04-19,15.5,15.5625,14.875,14.9375,203100
2000-04-20,18.25,18.6875,15.875,15.875,489600
2000-04-24,18.25,18.75,17.625,17.8125,227200
2000-04-25,17.875,18.75,17.6875,18.625,325900
2000-04-26,17.8125,18.75,17.5,18.75,304000
2000-04-27,18.0,18.75,17.125,17.3125,309500
2000-04-28,19.0625,19.5,18.375,19.125,211900
2000-05-01,24.5,24.625,19.0625,19.28125,578400
2000-05-02,26.875,30.875,24.5,24.625,680800
2000-05-03,27.9375,28.5,27.125,27.5,967000
2000-05-04,28.125,29.375,28.125,28.125,242900
2000-05-05,28.125,28.625,28.0,28.375,171300
2000-05-08,26.5,27.875,26.5,27.75,206600
2000-05-09,26.5625,28.25,26.5,27.125,273500
2000-05-10,23.125,26.0625,21.5,26.0,302700
2000-05-11,22.3125,23.5,21.5,23.375,177700
2000-05-12,21.0,22.0,20.25,22.0,230800
2000-05-15,21.0,21.125,20.25,21.125,77100
2000-05-16,21.5,21.5,20.25,20.25,210900
2000-05-17,21.125,21.375,20.75,21.375,170400
2000-05-18,20.375,21.0625,20.375,20.8125,111600
2000-05-19,22.625,23.375,20.125,20.125,225300
2000-05-22,18.25,22.5,16.375,22.25,371900
2000-05-23,17.375,19.0,16.75,18.0,194400
2000-05-24,17.6875,18.0,17.0,17.484375,230100
2000-05-25,17.625,18.0,17.4375,17.625,221000
2000-05-26,18.0,18.375,17.625,18.125,85500
2000-05-30,18.5625,18.75,18.0,18.125,152900
2000-05-31,24.25,24.25,18.25,18.625,421000
2000-06-01,21.5,24.25,20.0,24.25,218800
2000-06-02,22.5,24.0,21.125,21.5,142700
2000-06-05,29.0625,30.0,22.6875,22.75,353200
2000-06-06,29.3125,33.75,27.5625,27.625,192000
2000-06-07,30.9375,31.25,28.625,29.375,429400
2000-06-08,29.0,31.5,26.75,30.90625,166400
2000-06-09,30.0625,30.3125,28.75,29.25,308300
2000-06-12,30.9375,31.1875,30.0,31.125,266600
2000-06-13,29.9375,30.625,28.5,30.625,195300
2000-06-14,29.75,30.4375,29.0,29.375,213700
2000-06-15,29.1875,29.875,28.625,29.75,64500
2000-06-16,28.3125,28.75,27.0,28.5,30100
2000-06-19,28.8125,29.5,28.0,28.0,166300
2000-06-20,28.9375,29.9375,28.0,29.875,167700
2000-06-21,32.0,32.0,28.625,28.625,520500
2000-06-22,32.5,35.609375,31.0,31.625,220400
2000-06-23,29.625,32.6875,29.625,32.6875,79500
2000-06-26,29.5625,30.0,29.375,30.0,57600
2000-06-27,29.875,30.0,29.25,29.375,41200
2000-06-28,33.9375,34.5,29.625,29.875,193000
2000-06-29,35.25,36.5,34.0,35.0,198200
2000-06-30,33.375,39.8125,32.75,35.625,484300
2000-07-03,33.0,34.0,31.75,33.8125,52300
2000-07-05,34.0,38.375,32.125,33.5,159200
2000-07-06,37.4375,39.0,34.015625,35.375,76400
2000-07-07,37.9375,40.5625,36.125,38.125,189900
2000-07-10,39.0,41.0,37.375,39.25,175800
2000-07-11,41.125,42.625,38.03125,38.0625,219300
2000-07-12,44.5,46.75,42.0,42.984375,325800
2000-07-13,44.1875,50.5,43.5,46.3125,199600
2000-07-14,40.5,45.125,37.625,45.125,141700
2000-07-17,41.5,42.0,38.5,41.28125,88300
2000-07-18,41.625,43.3125,39.125,41.5,77600
2000-07-19,41.1875,42.125,40.0,40.0625,24900
2000-07-20,42.0,42.75,40.5,40.5625,34700
2000-07-21,41.5,42.375,41.0625,42.375,29900
2000-07-24,47.0,48.25,42.875,42.9375,120400
2000-07-25,47.625,48.5,45.625,46.9375,89600
2000-07-26,49.25,50.0,47.5,48.5,145000
2000-07-27,46.375,49.375,45.0,49.34375,101200
2000-07-28,42.125,47.484375,41.0,47.0,115400
2000-07-31,38.9375,42.0,34.375,42.0,95200
2000-08-01,40.0,40.5,38.375,39.21875,110500
2000-08-02,42.25,42.5,39.375,39.375,87400
2000-08-03,42.6875,42.75,40.5,42.0,44900
2000-08-04,45.9375,47.5,42.5,43.0,129400
2000-08-07,44.9375,47.0625,44.0,47.03125,92800
2000-08-08,44.125,46.0,44.125,45.0,44900
2000-08-09,41.75,42.6875,37.75,42.0,56400
2000-08-10,38.25,42.0,37.875,42.0,125900
2000-08-11,40.625,41.0,38.25,38.5,67600
2000-08-14,39.5,40.0625,37.625,40.0625,27600
2000-08-15,39.0,39.9375,39.0,39.8125,34700
2000-08-16,39.5,39.5625,38.6875,39.5625,53000
2000-08-17,42.375,42.5,39.25,39.5,37600
2000-08-18,43.0625,44.0,42.0,42.0,22800
2000-08-21,45.0,45.5,42.6875,44.34375,42200
2000-08-22,45.75,45.9375,44.375,44.375,25400
2000-08-23,41.375,45.9375,41.25,45.875,298800
2000-08-24,41.5,43.125,41.375,42.125,65100
2000-08-25,42.0625,43.0,41.3125,41.34375,157100
2000-08-28,44.0,45.125,42.5,42.5,31300
2000-08-29,45.125,45.5,44.0,45.0,82200
2000-08-30,45.0,45.375,44.9375,45.15625,56600
2000-08-31,45.0,45.125,44.875,45.0,134200
