Price,Close,High,Low,Open,Volume
Ticker,TPGXL,TPGXL,TPGXL,TPGXL,TPGXL
Date,,,,,
2024-03-05,24.14141082763672,24.264822668362328,24.017997176211686,24.06546466164417,171600
2024-03-06,24.293302536010742,24.388235693739343,24.122423214239134,24.160397201610326,571100
2024-03-07,24.41671371459961,24.582847188815823,24.217355718379345,24.25532789402635,131000
2024-03-08,24.63506317138672,24.85340818432691,24.368301863843442,24.445196840578145,506500
2024-03-11,24.929353713989258,25.062259055720745,24.635062538426897,24.67303471719326,479800
2024-03-12,25.460975646972656,25.63185496981667,24.881885010823364,24.976818169147748,469800
2024-03-13,25.062259674072266,25.44199052460224,25.033780991969717,25.44199052460224,312700
2024-03-14,24.853404998779297,25.36604112913684,24.853404998779297,25.14769614418269,194700
2024-03-15,24.758474349975586,24.957834173008056,24.7015151765518,24.90087318888479,125600
2024-03-18,24.83441925048828,25.48945604887507,24.748979589363945,24.77746007997185,207100
2024-03-19,24.83441925048828,25.04327074951478,24.83441925048828,24.919858911612618,331300
2024-03-20,24.881885528564453,24.98631218596412,24.872393842163962,24.919859516964124,167000
2024-03-21,24.90087127685547,25.043270104830487,24.90087127685547,24.967323942530523,103300
2024-03-22,24.976818084716797,25.057511902764535,24.87239324054242,25.057511902764535,29200
2024-03-25,24.90087127685547,25.02428492228,24.85815144739303,24.90087127685547,99900
2024-03-26,24.824926376342773,25.100232360360334,24.739486713075216,24.948340028040104,574700
2024-03-27,24.929353713989258,25.33756504724966,24.777461377524848,24.84391404839059,448200
2024-03-28,24.948339462280273,25.05276430669522,24.862899800950252,25.02428562671814,2274100
2024-04-01,24.76796531677246,24.853404973528463,24.525885685730696,24.729991331236775,28100
2024-04-02,24.881885528564453,24.976818688864203,24.397729851364648,24.654047030264714,68000
2024-04-03,24.758474349975586,24.929353680946424,24.67303468449017,24.88188619417704,77400
2024-04-04,24.668289184570312,24.81543386885512,24.668289184570312,24.701515520421687,57400
2024-04-05,24.67303466796875,24.69202166266379,24.59234265656404,24.611327840559607,6000
2024-04-08,24.7774600982666,24.7774600982666,24.57810028526282,24.748979607637665,27100
2024-04-09,24.83441925048828,24.83441925048828,24.748979589363945,24.748979589363945,3700
2024-04-10,24.5306339263916,24.739485419738674,24.51164693316932,24.64455226432661,43400
2024-04-11,24.758474349975586,24.758474349975586,24.530635845580964,24.530635845580964,26400
2024-04-12,24.83441925048828,24.86289974109619,24.72050090945542,24.76796658310255,33200
2024-04-15,24.568607330322266,24.82492631953843,24.473675980863913,24.65404699339432,189100
2024-04-16,24.64455223083496,24.692019713826152,24.445194234369954,24.58759306194486,23400
2024-04-17,24.76796531677246,24.76796531677246,24.530633339272303,24.549620332040146,13400
2024-04-18,24.739486694335938,24.843913351739282,24.620820696631927,24.767967185636692,17600
2024-04-19,24.748979568481445,24.824925732672398,24.71100739173566,24.824925732672398,3300
2024-04-22,24.91036605834961,24.91036605834961,24.773663683438336,24.815432897903193,14800
2024-04-23,25.100231170654297,25.100231170654297,24.824925199685744,24.929351852218552,11100
2024-04-24,25.090736389160156,25.090736389160156,24.69771506330324,24.967322749632128,8100
2024-04-25,24.938844680786133,24.967323359296277,24.729991381315514,24.938844680786133,63800
2024-04-26,24.84391212463379,24.95308461984523,24.786952955545065,24.786952955545065,3100
2024-04-29,24.805940628051758,24.881886798026407,24.805940628051758,24.805940628051758,10500
2024-04-30,24.483169555664062,24.77746072345782,24.46987721114232,24.77746072345782,18500
2024-05-01,24.492660522460938,24.682526837800694,24.388235678653512,24.426207855301836,7100
2024-05-02,24.568607330322266,25.01479263985398,24.50215466142165,24.758473650637814,11300
2024-05-03,24.67303466796875,24.68252816531627,24.616075494583104,24.68252816531627,7600
2024-05-06,24.67303466796875,24.701515160011308,24.635062489278145,24.69676750598781,19400
2024-05-07,24.616073608398438,24.782205272501663,24.547721519153395,24.782205272501663,15500
2024-05-08,24.483169555664062,24.663540568767,24.421462729760727,24.559115721891466,21100
2024-05-09,24.464181900024414,24.587593737795125,24.445194906306035,24.492660579902605,16900
2024-05-10,24.445194244384766,24.559114392910963,24.39298091842273,24.511646909900325,11700
2024-05-13,24.4072208404541,24.54012798535638,24.397729154324786,24.454688324597548,10300
2024-05-14,24.445194244384766,24.49265991669607,24.359754585664948,24.49265991669607,16400
2024-05-15,24.616073608398438,24.65404578417946,24.492659963036612,24.492659963036612,13700
2024-05-16,24.64455223083496,24.64455223083496,24.50215340326005,24.61607355173958,11300
2024-05-17,24.663537979125977,24.692018467483123,24.573352482043873,24.57809832475378,14800
2024-05-20,24.805940628051758,24.805940628051758,24.66354178568673,24.66354178568673,15000
2024-05-21,24.625568389892578,24.886633223118793,24.5496222236686,24.805939402987384,39600
2024-05-22,24.739486694335938,24.739486694335938,24.692021019534103,24.701514516634354,11800
2024-05-23,24.83441925048828,24.83441925048828,24.654046431370304,24.76796658310255,32300
2024-05-24,25.119216918945312,25.19516489391538,24.79644707881945,24.79644707881945,14400
2024-05-28,25.167633056640625,25.375535747967813,25.167633056640625,25.185671243796076,72700
2024-05-29,24.815431594848633,25.27111037892392,24.739485432619308,25.157190230230267,77300
2024-05-30,25.104976654052734,25.19516396565725,24.815431347594835,24.815431347594835,118900
2024-05-31,25.59048080444336,25.696866617182508,25.21329742425195,25.21329742425195,59600
2024-06-03,25.532453536987305,25.600152930226997,25.368039934260853,25.600152930226997,32500
2024-06-04,25.60982322692871,25.619494831850158,25.38738184774546,25.532452232227143,12600
