Price,Close,High,Low,Open,Volume
Ticker,BSX,BSX,BSX,BSX,BSX
Date,,,,,
1992-05-19,4.28125,4.34375,4.21875,4.25,7799600
1992-05-20,4.375,4.375,4.3125,4.34375,2560400
1992-05-21,4.375,4.375,4.3125,4.375,1854000
1992-05-22,4.53125,4.59375,4.375,4.40625,3206400
1992-05-26,4.375,4.53125,4.375,4.5,1727600
1992-05-27,4.4375,4.46875,4.40625,4.40625,794000
1992-05-28,4.46875,4.5,4.4375,4.46875,250800
1992-05-29,4.5625,4.59375,4.46875,4.5,1041600
1992-06-01,4.625,4.65625,4.5625,4.5625,859600
1992-06-02,4.65625,4.6875,4.5625,4.6875,1385600
1992-06-03,4.5,4.625,4.46875,4.625,1222000
1992-06-04,4.375,4.5,4.375,4.5,464000
1992-06-05,4.3125,4.34375,4.25,4.34375,940800
1992-06-08,4.3125,4.34375,4.3125,4.34375,844000
1992-06-09,4.125,4.34375,4.125,4.3125,1579200
1992-06-10,4.125,4.15625,4.125,4.125,676800
1992-06-11,4.09375,4.15625,4.03125,4.15625,1413600
1992-06-12,4.1875,4.21875,4.15625,4.15625,208400
1992-06-15,4.15625,4.15625,4.125,4.15625,1178000
1992-06-16,4.125,4.15625,4.09375,4.15625,256000
1992-06-17,3.9375,4.09375,3.875,4.09375,1033200
1992-06-18,3.9375,3.9375,3.90625,3.9375,277200
1992-06-19,3.9375,3.9375,3.875,3.90625,394800
1992-06-22,3.59375,3.875,3.5,3.875,752400
1992-06-23,3.96875,4.0,3.65625,3.65625,1240000
1992-06-24,3.9375,4.0,3.84375,4.0,368000
1992-06-25,3.875,3.96875,3.8125,3.96875,344400
1992-06-26,3.875,3.875,3.8125,3.84375,290000
1992-06-29,4.21875,4.25,3.875,3.875,474400
1992-06-30,4.28125,4.28125,4.1875,4.25,532400
1992-07-01,4.21875,4.25,4.21875,4.25,191200
1992-07-02,4.4375,4.46875,4.25,4.25,1210400
1992-07-06,4.59375,4.59375,4.40625,4.4375,1128400
1992-07-07,4.59375,4.71875,4.59375,4.625,784000
1992-07-08,4.46875,4.625,4.40625,4.625,355200
