Price,Close,High,Low,Open,Volume
Ticker,EW,EW,EW,EW,EW
Date,,,,,
2000-03-27,1.375,1.3854169845581055,1.2708330154418945,1.2708330154418945,11026800
2000-03-28,1.3385419845581055,1.375,1.3333330154418945,1.375,3232800
2000-03-29,1.3333330154418945,1.34375,1.3177080154418945,1.3333330154418945,1311600
2000-03-30,1.28125,1.3333330154418945,1.28125,1.3333330154418945,5650800
2000-03-31,1.1302080154418945,1.2447919845581055,1.1302080154418945,1.2447919845581055,23794800
2000-04-03,1.1458330154418945,1.234375,1.1458330154418945,1.1666669845581055,34460400
2000-04-04,1.1666669845581055,1.1927080154418945,1.03125,1.1770830154418945,39410400
2000-04-05,1.1614580154418945,1.1875,1.1510419845581055,1.15625,19048800
2000-04-06,1.1927080154418945,1.1979169845581055,1.15625,1.1666669845581055,21543600
2000-04-07,1.203125,1.2708330154418945,1.1979169845581055,1.1979169845581055,41714400
2000-04-10,1.2135419845581055,1.25,1.2083330154418945,1.2291669845581055,15842400
2000-04-11,1.1927080154418945,1.21875,1.1875,1.1927080154418945,19770000
2000-04-12,1.1927080154418945,1.2135419845581055,1.1770830154418945,1.1822919845581055,25639200
2000-04-13,1.2044270038604736,1.21875,1.1927080154418945,1.1927080154418945,20623200
2000-04-14,1.203125,1.2083330154418945,1.1770830154418945,1.203125,7878000
2000-04-17,1.1875,1.203125,1.171875,1.1927080154418945,8976000
2000-04-18,1.171875,1.2083330154418945,1.1614580154418945,1.203125,8688000
2000-04-19,1.1979169845581055,1.21875,1.1875,1.1875,13987200
2000-04-20,1.21875,1.2291669845581055,1.1875,1.1927080154418945,13676400
2000-04-24,1.1875,1.21875,1.1770830154418945,1.1979169845581055,11445600
2000-04-25,1.2552080154418945,1.2604169845581055,1.15625,1.1927080154418945,13906800
2000-04-26,1.2760419845581055,1.375,1.25,1.2604169845581055,15963600
2000-04-27,1.234375,1.2552080154418945,1.2135419845581055,1.2552080154418945,12255600
2000-04-28,1.25,1.25,1.2083330154418945,1.2291669845581055,10617600
2000-05-01,1.2291669845581055,1.25,1.203125,1.25,12930000
2000-05-02,1.2135419845581055,1.2291669845581055,1.203125,1.21875,8053200
2000-05-03,1.1875,1.2135419845581055,1.171875,1.1822919845581055,12493200
2000-05-04,1.2291669845581055,1.2291669845581055,1.1875,1.1979169845581055,10831200
2000-05-05,1.2604169845581055,1.28125,1.2395830154418945,1.2395830154418945,5132400
2000-05-08,1.2708330154418945,1.3020830154418945,1.265625,1.28125,4306800
2000-05-09,1.25,1.2916669845581055,1.25,1.2864580154418945,4030800
2000-05-10,1.265625,1.28125,1.2395830154418945,1.25,2325600
2000-05-11,1.2447919845581055,1.2916669845581055,1.2291669845581055,1.265625,6861600
2000-05-12,1.3072919845581055,1.3072919845581055,1.2447919845581055,1.2447919845581055,2305200
2000-05-15,1.3645830154418945,1.40625,1.2916669845581055,1.2916669845581055,3985200
2000-05-16,1.375,1.4114580154418945,1.359375,1.375,3790800
2000-05-17,1.3333330154418945,1.375,1.3177080154418945,1.375,7551600
2000-05-18,1.296875,1.34375,1.2864580154418945,1.3333330154418945,6236400
2000-05-19,1.2760419845581055,1.3020830154418945,1.2760419845581055,1.296875,1891200
2000-05-22,1.296875,1.3072919845581055,1.2760419845581055,1.2864580154418945,1888800
2000-05-23,1.3020830154418945,1.3333330154418945,1.2916669845581055,1.2916669845581055,2601600
2000-05-24,1.3697919845581055,1.3958330154418945,1.3020830154418945,1.3020830154418945,6796800
2000-05-25,1.4427080154418945,1.46875,1.359375,1.359375,9045600
2000-05-26,1.5,1.5104169845581055,1.4427080154418945,1.453125,6882000
2000-05-30,1.6458330154418945,1.6510419845581055,1.5,1.5,11426400
2000-05-31,1.6927080154418945,1.71875,1.6458330154418945,1.6458330154418945,9780000
2000-06-01,1.65625,1.6875,1.6145830154418945,1.671875,4317600
2000-06-02,1.5989580154418945,1.6770830154418945,1.546875,1.65625,3984000
2000-06-05,1.5104169845581055,1.578125,1.5052080154418945,1.578125,6038400
2000-06-06,1.4270830154418945,1.5208330154418945,1.4010419845581055,1.5208330154418945,11726400
2000-06-07,1.5416669845581055,1.5520830154418945,1.4583330154418945,1.4583330154418945,7087200
2000-06-08,1.5416669845581055,1.5416669845581055,1.515625,1.5208330154418945,4168800
2000-06-09,1.5416669845581055,1.5833330154418945,1.5260419845581055,1.53125,3777600
2000-06-12,1.5520830154418945,1.578125,1.53125,1.5520830154418945,2486400
2000-06-13,1.53125,1.546875,1.515625,1.5416669845581055,2751600
2000-06-14,1.5364580154418945,1.5520830154418945,1.515625,1.5520830154418945,4534800
2000-06-15,1.5260419845581055,1.5520830154418945,1.5260419845581055,1.5364580154418945,2157600
2000-06-16,1.5,1.5364580154418945,1.4895830154418945,1.53125,3186000
2000-06-19,1.5104169845581055,1.53125,1.4583330154418945,1.4635419845581055,4202400
