Price,Close,High,Low,Open,Volume
Ticker,FE,FE,FE,FE,FE
Date,,,,,
1997-11-10,7.423141002655029,7.588918345146085,7.404721297933801,7.588918345146085,947200
1997-11-11,7.4599809646606445,7.496820376831808,7.404721846403898,7.423141552489481,514700
1997-11-12,7.552077293395996,7.625756096258396,7.404719687671196,7.4415590891023955,344700
1997-11-13,7.625754356384277,7.6441740528972835,7.53365587381925,7.53365587381925,1007700
1997-11-14,7.662596702575684,7.662596702575683,7.570498184515879,7.625757295351761,1394900
1997-11-17,7.699433326721191,7.736272720628948,7.625754538905677,7.6441742358595555,706600
1997-11-18,7.681017875671387,7.7731164113509,7.644178461399581,7.662598168535484,625800
1997-11-19,7.736274719238281,7.736274719238281,7.662595912388393,7.662595912388393,342400
1997-11-20,7.80995512008667,7.846794531030475,7.7178565927271565,7.7178565927271565,558800
1997-11-21,7.920469760894775,7.920469760894775,7.809951578184616,7.883630366658055,640800
1997-11-24,7.920469760894775,7.957309155131495,7.809951578184616,7.846790972421335,330800
1997-11-25,7.994149208068848,8.030988605341054,7.883631016252227,7.902050714888331,1021000
1997-11-26,7.920469760894775,8.012568246486575,7.920469760894775,8.012568246486575,488700
1997-11-28,7.957313537597656,7.957313537597656,7.920474123071742,7.957313537597656,244200
1997-12-01,8.067830085754395,8.067830085754395,7.938892162009462,7.957311865401595,836200
1997-12-02,7.994149208068848,8.067828002613261,7.975729509432744,8.030988605341054,437800
1997-12-03,7.994149208068848,8.030988605341054,7.920470413524434,8.030988605341054,338400
1997-12-04,8.067830085754395,8.15992860271506,7.975731568793728,8.030990678970127,1405800
1997-12-05,8.049407958984375,8.21518523960419,7.994148865444437,7.994148865444437,362500
1997-12-08,8.049407958984375,8.086247354677669,7.994148865444437,8.067827656831021,312900
1997-12-09,8.012574195861816,8.049413617451986,7.938895352681478,8.012574195861816,365300
1997-12-10,8.049407958984375,8.104667052524315,8.012568563291083,8.086247354677669,354100
1997-12-11,7.994149208068848,8.049408303977158,7.9388901121605375,8.030988605341054,199600
1997-12-12,8.012574195861816,8.049413617451986,7.957315063476563,8.030993906656901,680500
1997-12-15,8.104670524597168,8.123090230334888,8.012571995908564,8.012571995908564,489500
1997-12-16,8.086251258850098,8.123090672330052,8.067831552110121,8.104670965590076,310200
1997-12-17,8.086251258850098,8.123090672330052,8.049411845370143,8.123090672330052,386100
1997-12-18,8.19676685333252,8.19676685333252,8.06782894777448,8.086248648568485,1640900
1997-12-19,8.344125747680664,8.344125747680664,8.159928711308023,8.196768118582552,2164100
1997-12-22,8.436227798461914,8.491486932512975,8.325709530359793,8.344129241710148,851400
1997-12-23,8.399383544921875,8.473062347947506,8.344124442652653,8.380963844165468,493200
1997-12-24,8.436227798461914,8.454647509812268,8.380968664410855,8.417808087111561,92200
1997-12-26,8.325702667236328,8.43622084423504,8.270443578736971,8.417801148068587,215300
1997-12-29,8.417802810668945,8.473061910082528,8.288864912037255,8.32570431164631,280800
1997-12-30,8.49148178100586,8.49148178100586,8.399383280127271,8.436222680478705,268600
1997-12-31,8.546741485595703,8.546741485595703,8.417803575252664,8.436223276730242,482900
1998-01-02,8.509900093078613,8.52831979024978,8.399381910051618,8.473060698736282,317200
1998-01-05,8.36254596710205,8.519113457675546,8.307286852781992,8.454644490968812,734200
1998-01-06,8.417802810668945,8.436222510473474,8.32570431164631,8.32570431164631,1507800
1998-01-07,8.380964279174805,8.380964279174805,8.270446068899972,8.380964279174805,724000
1998-01-08,8.36254596710205,8.380965671875403,8.270447443235287,8.344126262328698,461600
1998-01-09,8.344125747680664,8.41780456222972,8.288866636768873,8.344125747680664,863900
1998-01-12,8.473063468933105,8.473063468933105,8.215187624226447,8.215187624226447,679200
1998-01-13,8.380964279174805,8.473062787737165,8.362544577462334,8.473062787737165,1065600
1998-01-14,8.380964279174805,8.380964279174805,8.288865770612444,8.380964279174805,348700
1998-01-15,8.325702667236328,8.362542059569233,8.325702667236328,8.34412236340278,638200
1998-01-16,8.36254596710205,8.399385376648755,8.325706557555344,8.399385376648755,488700
1998-01-20,8.399383544921875,8.399383544921875,8.252025938870615,8.36254414340906,344700
1998-01-21,8.399383544921875,8.473062347947506,8.325704741896244,8.399383544921875,464300
1998-01-22,8.399383544921875,8.399383544921875,8.325704741896244,8.380963844165468,421800
1998-01-23,8.344125747680664,8.399384858592457,8.307286340406137,8.380965154955193,320800
1998-01-26,8.436227798461914,8.436227798461914,8.325709530359793,8.325709530359793,1019500
1998-01-27,8.436227798461914,8.50990664386333,8.417808087111561,8.436227798461914,415700
1998-01-28,8.528324127197266,8.546743833735489,8.399386181429705,8.417805887967928,325800
1998-01-29,8.675680160522461,8.694099863623359,8.473063426412596,8.528322535715287,1813100
1998-01-30,8.546741485595703,8.694099097416318,8.546741485595703,8.657259694461166,283500
1998-02-02,8.546741485595703,8.730938500371472,8.509902082640549,8.694099097416318,1120100
1998-02-03,8.675680160522461,8.675680160522461,8.473063426412596,8.473063426412596,2424000
1998-02-04,8.675681114196777,8.731653250417402,8.619708977976153,8.619708977976153,544800
1998-02-05,8.731649398803711,8.787621510334505,8.63836254625239,8.675677287272919,854100
1998-02-06,8.824938774108887,8.918225653327797,8.731651894889977,8.731651894889977,415100
1998-02-09,8.768969535827637,8.824941681801006,8.750312153836514,8.806284299809883,553000
1998-02-10,8.731649398803711,8.787621510334505,8.694334657783182,8.731649398803711,329000
1998-02-11,8.731649398803711,8.750306769313976,8.694334657783182,8.712992028293447,407900
1998-02-12,8.768969535827637,8.78762691781876,8.657025243880902,8.71299738985427,436400
1998-02-13,8.843597412109375,8.862254790615935,8.712995762563455,8.768967898083135,241300
1998-02-17,8.731649398803711,8.899565733396091,8.675677287272919,8.843593621865297,336100
1998-02-18,8.712997436523438,8.787626964887663,8.712997436523438,8.731654818614494,320700
1998-02-19,8.731649398803711,8.731649398803711,8.657019916762653,8.712992028293447,510000
1998-02-20,8.675681114196777,8.75031062915761,8.619708977976153,8.75031062915761,392600
1998-02-23,8.657021522521973,8.694336270463879,8.582392026638162,8.694336270463879,553700
1998-02-24,8.582396507263184,8.657026042108951,8.507766972417416,8.638368658397509,367100
1998-02-25,8.657021522521973,8.694336270463879,8.563734652667211,8.657021522521973,268300
1998-02-26,8.601048469543457,8.65702058539732,8.545076353689595,8.619705841494744,396700
