Price,Close,High,Low,Open,Volume
Ticker,SOJC,SOJC,SOJC,SOJC,SOJC
Date,,,,,
2017-11-28,17.773681640625,17.80908684015816,17.674544650812937,17.745356400501045,849700
2017-11-29,17.745357513427734,17.780764065803254,17.688708380248773,17.73827620295263,726300
2017-11-30,17.71703338623047,17.773682518655093,17.71703338623047,17.759519897893473,711700
2017-12-01,17.752437591552734,17.809086720799193,17.66746457299394,17.73827497158568,377800
2017-12-04,17.72411346435547,17.787843902730096,17.72411346435547,17.77368128295312,353300
2017-12-05,17.71703338623047,17.759519897893473,17.702870765468848,17.752438587512664,415800
2017-12-06,17.72411346435547,17.738274733510682,17.709950844578493,17.731194774243956,286300
2017-12-07,17.752437591552734,17.780762831486854,17.71703239225687,17.73827497158568,311500
2017-12-08,17.738271713256836,17.79492083209746,17.738271713256836,17.78784087403622,380300
2017-12-11,17.752437591552734,17.773681521503324,17.73827497158568,17.752437591552734,216400
2017-12-12,17.766599655151367,17.773680964913144,17.74535572586604,17.759518345389594,238000
2017-12-13,17.780765533447266,17.780765533447266,17.738277667089644,17.780765533447266,493200
2017-12-14,17.844491958618164,17.844491958618164,17.752436286222878,17.766598905148566,143300
2017-12-15,17.858652114868164,17.872814732911948,17.811916555820954,17.844490847445975,164200
2017-12-18,17.766599655151367,17.858653980810974,17.766599655151367,17.858653980810974,507600
2017-12-19,17.773681640625,17.79138424039158,17.73119513106085,17.773681640625,484600
2017-12-20,17.731191635131836,17.78784075358887,17.709947709227375,17.752434210414773,1099300
2017-12-21,17.738271713256836,17.766596947987914,17.717029137830057,17.731191755195596,184800
2017-12-22,17.738271713256836,17.752434330622375,17.717029137830057,17.738271713256836,123300
2017-12-26,17.8303279876709,17.858651872752876,17.745353631181814,17.745353631181814,186400
2017-12-27,17.879899978637695,17.879899978637695,17.809088223449404,17.809088223449404,117200
2017-12-28,17.915302276611328,17.915302276611328,17.85157184233561,17.87281577063474,120300
2017-12-29,18.021520614624023,18.255198424038994,17.904681034605698,17.91530232347221,471200
2018-01-02,17.844491958618164,18.014439333861368,17.802004101841103,18.014439333861368,158100
2018-01-03,17.8303279876709,17.915300993538406,17.787841484737143,17.915300993538406,133200
2018-01-04,17.802001953125,17.879894997192842,17.787840686530267,17.84448980477374,170800
2018-01-05,17.844491958618164,17.872815845847857,17.82324803022963,17.82324803022963,116100
2018-01-08,17.731191635131836,17.858651138694025,17.717029017862195,17.837408563411085,124100
2018-01-09,17.773681640625,17.80200553012717,17.73119513106085,17.745356400501045,189500
2018-01-10,17.62497329711914,17.731191575663672,17.58248679607424,17.70994764983046,226800
2018-01-11,17.54708480834961,17.688706954571597,17.455029130214644,17.667464375480268,263100
2018-01-12,17.440868377685547,17.62497840304517,17.419625796319913,17.62497840304517,562100
2018-01-16,17.462108612060547,17.5258390439063,17.440864684571423,17.490433848712712,175900
2018-01-17,17.483360290527344,17.540009438324578,17.419629830427677,17.511684189114852,124400
2018-01-18,17.34881019592285,17.4762710583597,17.246133240001875,17.419621936234613,251800
2018-01-19,17.22843360900879,17.38421838402074,17.214270988383564,17.37713842432997,171400
2018-01-22,17.12221908569336,17.32757171141714,17.07973256840948,17.32757171141714,146600
2018-01-23,17.150537490844727,17.171781417997984,17.115132296210895,17.15761879989581,216300
2018-01-24,17.12221908569336,17.228436054214075,17.037244700503567,17.143461669024283,158400
2018-01-25,17.12221908569336,17.20719212026112,17.07973256840948,17.20719212026112,118700
2018-01-26,17.016000747680664,17.207190735381673,17.016000747680664,17.207190735381673,146400
2018-01-29,16.888540267944336,17.06556898909549,16.888540267944336,17.06556898909549,178900
2018-01-30,16.61237335205078,16.923944257085672,16.584049461023167,16.923944257085672,104400
2018-01-31,16.83896827697754,16.895617399708787,16.612370435430936,16.75399391756986,116700
2018-02-01,16.895618438720703,17.058484507760934,16.86729320030238,16.92394232651732,116000
2018-02-02,16.711509704589844,16.888538406226132,16.640697953810967,16.888538406226132,83200
2018-02-05,16.59113121032715,16.817727747029732,16.584049899727457,16.817727747029732,85300
2018-02-06,16.61237335205078,16.74691554864205,16.463669885256632,16.74691554864205,122500
2018-02-07,16.697345733642578,16.94518616600965,16.683183114508072,16.711508352777084,101400
2018-02-08,16.746912002563477,16.768155929302278,16.666895778028305,16.71858811753331,65700
2018-02-09,16.860214233398438,16.867295543986955,16.584049873555728,16.711510762905252,92300
2018-02-12,16.888540267944336,16.938108093767145,16.846053753042206,16.909782850084422,64300
2018-02-13,16.969972610473633,17.006086889477665,16.88853956421199,16.987675211726703,91000
2018-02-14,16.90269660949707,16.98766960772915,16.79647833577479,16.98766960772915,71000
2018-02-15,16.92394256591797,17.001835622048496,16.860212129196942,16.94518649503222,63600
2018-02-16,16.846052169799805,16.923943881362884,16.82480823903433,16.923943881362884,35300
2018-02-20,16.846052169799805,16.923943881362884,16.796482998013698,16.796482998013698,73400
2018-02-21,16.90269660949707,16.99475091601873,16.860208759759576,16.99475091601873,75000
2018-02-22,16.945188522338867,17.030161547718514,16.92394459068301,16.99475634558064,85700
2018-02-23,17.0018367767334,17.0301606668543,16.959350266241138,16.99475546654772,103700
2018-02-26,17.115129470825195,17.15761596749639,17.02307516960071,17.030155126861427,69000
2018-02-27,17.15179443359375,17.252433188440925,17.15179443359375,17.2308671533593,177500
2018-02-28,17.22368049621582,17.22368049621582,17.144607767171003,17.18054979209134,74100
2018-03-01,17.30275535583496,17.31713271487431,17.194927905240686,17.23805861125831,110100
2018-03-02,17.482465744018555,17.532785122398998,17.302752894888265,17.34588359477147,107200
2018-03-05,17.46808624267578,17.604668375156308,17.38901353111342,17.496840953134864,189900
2018-03-06,17.583105087280273,17.61185980222837,17.51122104211058,17.525597028484356,100200
2018-03-07,17.56873321533203,17.683749359859526,17.56873321533203,17.611863926754694,79600
2018-03-08,17.604673385620117,17.604673385620117,17.511223292231396,17.583107346637895,66500
2018-03-09,17.489656448364258,17.59029521678226,17.475279089704433,17.59029521678226,71600
2018-03-12,17.5112247467041,17.568732817666163,17.468092665157133,17.53997809663485,58200
2018-03-13,17.504032135009766,17.511220813653004,17.48246609908005,17.48246609908005,55300
2018-03-14,17.532785415649414,17.59029347348897,17.504032072279763,17.51122075089724,97300
2018-03-15,17.53997802734375,17.604674778308055,17.51841335775602,17.604674778308055,42800
2018-03-16,17.604673385620117,17.604673385620117,17.504034612570656,17.590296026298635,70700
2018-03-19,17.53997802734375,17.575921428490897,17.504035997297162,17.575921428490897,82500
2018-03-20,17.504032135009766,17.640614287030775,17.496843456366527,17.640614287030775,47000
2018-03-21,17.496845245361328,17.583106655699616,17.4558712811157,17.583106655699616,44100
2018-03-22,17.432146072387695,17.5327848274556,17.39620405160636,17.5327848274556,42400
2018-03-23,17.410579681396484,17.496842449048817,17.389015017808536,17.39620369603791,42000
2018-03-26,17.3746337890625,17.527748625032963,17.353067759180796,17.49683854952574,66300
2018-03-27,17.46808624267578,17.511218308364406,17.38182485349865,17.439332903316757,59900
2018-03-28,17.46808624267578,17.504029630749635,17.417766870472445,17.504029630749635,156800
2018-03-29,17.46808624267578,17.53997164772343,17.403389515242903,17.53997164772343,55600
2018-04-02,17.432146072387695,17.53997350583191,17.39620405160636,17.53997350583191,43000
2018-04-03,17.360261917114258,17.468089358368324,17.28837649924478,17.468089358368324,37000
2018-04-04,17.288373947143555,17.457304448534348,17.252431929064713,17.453710795166504,55900
2018-04-05,17.396202087402344,17.396202087402344,17.296281800124,17.396202087402344,80200
2018-04-06,17.424957275390625,17.43933463204537,17.34588318488974,17.432145953717995,29100
2018-04-09,17.44652557373047,17.49684495744986,17.396206190011075,17.49684495744986,48700
2018-04-10,17.46808624267578,17.489652275520093,17.43573787895934,17.489652275520093,46500
2018-04-11,17.424957275390625,17.468087974254658,17.403391240408514,17.46090066702748,41900
2018-04-12,17.360261917114258,17.468089358368324,17.360261917114258,17.468089358368324,70500
2018-04-13,17.324321746826172,17.446526558945834,17.324321746826172,17.37464113338713,77000
2018-04-16,17.424957275390625,17.432145953717995,17.259621787161677,17.374637898199225,53600
2018-04-17,17.453716278076172,17.46809226716372,17.42496155770001,17.432150237794048,42000
2018-04-18,17.396202087402344,17.468086120848593,17.367447377143804,17.468086120848593,50400
2018-04-19,17.396202087402344,17.417766748996197,17.32503513928249,17.417766748996197,34800
2018-04-20,17.288373947143555,17.396202743580293,17.288373947143555,17.396202743580293,52100
2018-04-23,17.367448806762695,17.367448806762695,17.28190586757207,17.288374718142695,39900
2018-04-24,17.33150863647461,17.389016696761985,17.25962321834031,17.381828017838526,45200
2018-04-25,17.274002075195312,17.317132781378575,17.245247357006185,17.317132781378575,77300
2018-04-26,17.18054962158203,17.30994310377166,17.1446075970184,17.302754424638863,50300
2018-04-27,17.281190872192383,17.281190872192383,17.187739408543013,17.187739408543013,19900
2018-04-30,17.23086929321289,17.281190047985874,17.216493305806697,17.281190047985874,44200
2018-05-01,17.23805809020996,17.281190166024274,17.209304744100802,17.281190166024274,52300
2018-05-02,17.3099422454834,17.317130924259754,17.23661991572502,17.23805682882012,43000
2018-05-03,17.3099422454834,17.32431960303611,17.267530000473098,17.317130924259754,25500
2018-05-04,17.381832122802734,17.381832122802734,17.29556932644934,17.309946687691678,42300
2018-05-07,17.324321746826172,17.396207172384877,17.30994438749434,17.38901849271896,68300
2018-05-08,17.288373947143555,17.389014065744504,17.26680928473629,17.389014065744504,68800
